Name,Symbol,Market
2020 BULKERS,2020.OL,Oslo Børs
ABG SUNDAL COLLIER,ABG.OL,Oslo Børs
ABL GROUP,ABL.OL,Oslo Børs
AF GRUPPEN,AFG.OL,Oslo Børs
AGILYX,AGLX.OL,Oslo Børs
AIRTHINGS,AIRX.OL,Oslo Børs
AKASTOR,AKAST.OL,Oslo Børs
AKER,AKER.OL,Oslo Børs
AKER BIOMARINE,AKBM.OL,Oslo Børs
AKER BP,AKRBP.OL,Oslo Børs
AKER CARBON CAPTUR,ACC.OL,Oslo Børs
AKER HORIZONS,AKH.OL,Oslo Børs
AKER SOLUTIONS,AKSO.OL,Oslo Børs
AKVA GROUP,AKVA.OL,Oslo Børs
AMSC,AMSC.OL,Oslo Børs
ARCHER,ARCH.OL,Oslo Børs
ARCTICZYMES TECHNO,AZT.OL,Oslo Børs
ARENDALS FOSSEKOMP,AFK.OL,Oslo Børs
ARGEO,ARGEO.OL,Oslo Børs
ARRIBATEC GROUP,ARR.OL,Oslo Børs
ATEA,ATEA.OL,Oslo Børs
ATLANTIC SAPPHI TR,ASAS.OL,Oslo Børs
ATLANTIC SAPPHIRE,ASA.OL,Oslo Børs
AURSKOG SPAREBANK,AURG.OL,Oslo Børs
AUSTEVOLL SEAFOOD,AUSS.OL,Oslo Børs
AUTOSTORE HOLDINGS,AUTO.OL,Oslo Børs
AVANCE GAS HOLDING,AGAS.OL,Oslo Børs
AXACTOR,ACR.OL,Oslo Børs
B2 Impact,B2I.OL,Oslo Børs
BAKKAFROST,BAKKA.OL,Oslo Børs
BELSHIPS,BELCO.OL,Oslo Børs
BERGENBIO,BGBIO.OL,Oslo Børs
BEWI,BEWI.OL,Oslo Børs
BIEN SPAREBANK,BIEN.OL,Oslo Børs
BLUENORD,BNOR.OL,Oslo Børs
BONHEUR,BONHR.OL,Oslo Børs
BORGESTAD,BOR.OL,Oslo Børs
BORREGAARD,BRG.OL,Oslo Børs
BOUVET,BOUV.OL,Oslo Børs
BW ENERGY LIMITED,BWE.OL,Oslo Børs
BW LPG,BWLPG.OL,Oslo Børs
BW OFFSHORE LTD,BWO.OL,Oslo Børs
BYGGMA,BMA.OL,Oslo Børs
CADELER,CADLR.OL,Oslo Børs
CAPSOL TECHNOLOGI,CAPSL.OL,Oslo Børs
CAVENDISH HYDROGEN,CAVEN.OL,Oslo Børs
CIRCIO HOLDING,CRNA.OL,Oslo Børs
CLOUDBERRY CLEAN,CLOUD.OL,Oslo Børs
CONTEXTVISION,CONTX.OL,Oslo Børs
CRAYON GROUP HOLD,CRAYN.OL,Oslo Børs
DNB BANK,DNB.OL,Oslo Børs
DNO,DNO.OL,Oslo Børs
DOF GROUP,DOFG.OL,Oslo Børs
EDDA WIND,EWIND.OL,Oslo Børs
EIDESVIK OFFSHORE,EIOF.OL,Oslo Børs
ELECTROMAGNET GEO,EMGS.OL,Oslo Børs
ELKEM,ELK.OL,Oslo Børs
ELLIPTIC LABORATOR,ELABS.OL,Oslo Børs
ELMERA GROUP,ELMRA.OL,Oslo Børs
ELOPAK,ELO.OL,Oslo Børs
ENDÚR,ENDUR.OL,Oslo Børs
ENSURGE MICROPOWER,ENSU.OL,Oslo Børs
ENTRA,ENTRA.OL,Oslo Børs
ENVIPCO HOLDING,ENVIP.OL,Oslo Børs
EQUINOR,EQNR.OL,Oslo Børs
EQVA,EQVA.OL,Oslo Børs
EUROPRIS,EPR.OL,Oslo Børs
FLEX LNG,FLNG.OL,Oslo Børs
FRONTLINE,FRO.OL,Oslo Børs
GENTIAN DIAGNOSTIC,GENT.OL,Oslo Børs
GENTOO MEDIA,G2MNO.OL,Oslo Børs
GJENSIDIGE FORSIKR,GJF.OL,Oslo Børs
GOLDEN OCEAN GROUP,GOGL.OL,Oslo Børs
GOODTECH,GOD.OL,Oslo Børs
GRIEG SEAFOOD,GSF.OL,Oslo Børs
GYLDENDAL,GYL.OL,Oslo Børs
HAFNIA LIMITED,HAFNI.OL,Oslo Børs
HAUGESUND SPB,HGSB.OL,Oslo Børs
HAVILA SHIPPING,HAVI.OL,Oslo Børs
HERMANA HOLDING,HERMA.OL,Oslo Børs
HEXAGON COMPOSITES,HEX.OL,Oslo Børs
HEXAGON PURUS,HPUR.OL,Oslo Børs
HOFSETH BIOCARE,HBC.OL,Oslo Børs
HYDROGENPRO,HYPRO.OL,Oslo Børs
HÖEGH AUTOLINERS,HAUTO.OL,Oslo Børs
HØLAND OG SETSKOG,HSPG.OL,Oslo Børs
IDEX BIOMETRICS,IDEX.OL,Oslo Børs
IDEX BIOMETRICS TR,IDEXS.OL,Oslo Børs
IDEX BIOMETRICS TR,IDEXJ.OL,Oslo Børs
INTEGRATED WIND SO,IWS.OL,Oslo Børs
INTEROIL EXPL PROD,IOX.OL,Oslo Børs
ITERA,ITERA.OL,Oslo Børs
JINHUI SHIPP TRANS,JIN.OL,Oslo Børs
JÆREN SPAREBANK,JAREN.OL,Oslo Børs
KID,KID.OL,Oslo Børs
KITRON,KIT.OL,Oslo Børs
KLAVENESS COMBINAT,KCC.OL,Oslo Børs
